,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
101,127337.0,47171.0,127337.0,9.7,5.8,12.2,18.7,11.8,120.3,872.59,78.0,4450.0,34.0,47171.0,39.9,25.5,52.0,70.9,22.5,41.1,,,4473.0,
102,127339.0,129303.0,127339.0,3.3,1.6,4.3,7.9,6.7,199.8,869.39,77.0,4503.0,21.0,129303.0,31.6,20.9,36.8,,,,869.92,56.0,4513.0,39.0
103,127505.0,129337.0,127505.0,4.0,2.5,4.0,10.8,8.3,169.9,874.81,74.0,4326.0,23.0,129337.0,32.2,21.1,38.7,,,,877.22,54.0,4325.0,41.0
104,127511.0,37465.0,127511.0,0.1,0.0,0.3,2.5,2.6,299.4,875.24,76.0,4360.0,21.0,37465.0,22.0,12.3,26.1,29.9,15.2,86.0,874.84,56.0,4347.0,38.0
105,127517.0,90285.0,127517.0,5.0,2.9,5.7,11.4,8.6,164.9,880.08,80.0,4223.0,19.0,90285.0,52.3,30.0,68.6,113.3,26.4,28.9,879.79,56.0,4222.0,42.0
106,127551.0,6356.0,127551.0,0.9,0.5,1.4,3.5,3.5,274.8,867.17,74.0,4616.0,28.0,6356.0,26.8,17.3,30.2,42.3,18.0,64.4,869.42,55.0,4520.0,87.0
107,127769.0,168215.0,127769.0,0.3,0.1,0.3,2.9,3.0,289.1,871.28,78.0,4481.0,21.0,168215.0,29.6,19.1,36.1,49.7,19.4,56.1,872.08,59.0,4458.0,33.0
108,127793.0,160979.0,127793.0,0.0,0.0,0.1,1.7,1.8,324.6,853.37,80.0,5018.0,21.0,160979.0,26.4,14.7,33.0,40.8,17.7,66.2,856.26,62.0,4941.0,33.0
109,127825.0,30991.0,127825.0,1.0,0.1,1.3,3.0,3.1,286.8,877.54,80.0,4267.0,25.0,30991.0,14.4,10.1,16.5,29.5,15.1,86.6,878.91,83.0,4275.0,19.0
110,128107.0,43739.0,128107.0,0.0,0.0,0.0,2.0,2.1,315.1,869.58,80.0,4539.0,24.0,43739.0,19.9,12.4,23.8,35.9,16.5,76.2,871.05,63.0,4544.0,52.0
