,time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,latitiude,longitude
462,2021-06-04,15.0,30.2,340,40.667835,111.92634
463,2021-06-05,11.8,23.9,243,40.667835,111.92634
464,2021-06-06,14.4,28.4,205,40.667835,111.92634
465,2021-06-07,17.8,33.6,206,40.667835,111.92634
466,2021-06-08,7.1,19.0,92,40.667835,111.92634
467,2021-06-09,5.3,12.3,156,40.667835,111.92634
468,2021-06-10,10.9,22.1,187,40.667835,111.92634
469,2021-06-11,13.3,25.3,217,40.667835,111.92634
470,2021-06-12,7.8,22.6,160,40.667835,111.92634
471,2021-06-13,8.4,17.7,233,40.667835,111.92634
472,2021-06-14,6.6,18.1,127,40.667835,111.92634
473,2021-06-04,18.6,40.5,322,41.23023,111.91977
