,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
50,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-07,00:00,2023-02-07,07:00,16.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
51,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-08,00:00,2023-02-08,07:00,17.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
52,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-09,00:00,2023-02-09,07:00,18.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
53,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-10,00:00,2023-02-10,07:00,35.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
54,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-11,00:00,2023-02-11,07:00,30.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
55,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-12,00:00,2023-02-12,07:00,23.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
56,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-13,00:00,2023-02-13,07:00,33.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
57,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-14,00:00,2023-02-14,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
58,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-15,00:00,2023-02-15,07:00,9.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
59,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-16,00:00,2023-02-16,07:00,19.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
